Omega,Grid,StaticMem(GB)
0.3,111,0.004000
0.3,222,0.034000
0.3,333,0.101000
0.3,444,0.178000
0.3,555,0.240000
0.3,666,0.272000
0.3,777,0.278000
0.3,888,0.278000
0.3,999,0.278000
0.3,101010,0.278000
0.3,111111,0.278000
0.3,121212,0.278000
0.6,111,0.004000
0.6,222,0.031000
0.6,333,0.092000
0.6,444,0.155000
0.6,555,0.201000
0.6,666,0.219000
0.6,777,0.219000
0.6,888,0.219000
0.6,999,0.219000
0.6,101010,0.219000
0.6,111111,0.219000
0.6,121212,0.219000
0.9,111,0.004000
0.9,222,0.028000
0.9,333,0.075000
0.9,444,0.113000
0.9,555,0.140000
0.9,666,0.150000
0.9,777,0.150000
0.9,888,0.150000
0.9,999,0.150000
0.9,101010,0.150000
0.9,111111,0.150000
0.9,121212,0.150000
